gene_symbol,uniprot,accession_count,main_location,additional_location,if_reliability
ACKR1,Q16570,1,,,
ACKR2,O00590,1,"Vesicles, Cytosol",Nucleoplasm,Supported
ACKR3,P25106,1,"Vesicles, Plasma membrane",,Supported
ACKR4,Q9NPB9,1,"Vesicles, Mitochondria",,Approved
ACLY,P53396,1,Cytosol,Nucleoplasm,Enhanced
ACMSD,Q8TDX5,1,Cytosol,,Approved
ACO1,P21399,1,"Mitochondria, Cytosol",,Supported
ACO2,Q99798,1,Mitochondria,,Approved
ACOD1,A6NK06,1,Mitochondria,Nucleoplasm,Uncertain
ACOT1,Q86TX2,1,Mitochondria,,Approved
ACOT11,Q8WXI4,1,Cytosol,,Supported
ACOT12,Q8WYK0,1,Cytosol,"Nucleoplasm, Cytokinetic bridge",Approved
ACOT13,Q9NPJ3,1,Cell Junctions,,Approved
ACOT2,P49753,1,Mitochondria,,Approved
ACOT4,Q8N9L9,1,,,
ACOT6,Q3I5F7,1,,,
ACOT7,O00154,1,Cytosol,Nucleoplasm,Supported
ACOT8,O14734,1,Vesicles,Mitochondria,Supported
ACOT9,Q9Y305,1,"Plasma membrane, Cytosol",Nucleoplasm,Approved
ACOX1,Q15067,1,Peroxisomes,Nucleoli,Approved
ACOX2,Q99424,1,Vesicles,Cytosol,Approved
ACOX3,O15254,1,Peroxisomes,,Supported
ACOXL,Q9NUZ1,1,Cytosol,Nucleoli,Supported
ACP1,P24666,1,Nucleoplasm,Cytosol,Approved
ACP2,P11117,1,,,
ACP3,P15309,1,,,
ACP4,Q9BZG2,1,,,
ACP5,P13686,1,Cytosol,,Uncertain
ACP6,Q9NPH0,1,,,
ACP7,Q6ZNF0,1,,,
ACR,P10323,1,,,
ACRBP,Q8NEB7,1,"Nucleoplasm, Vesicles",,Approved
ACRV1,P26436,1,,,
ACSBG1,Q96GR2,1,Vesicles,,Approved
ACSBG2,Q5FVE4,1,Cytosol,,Supported
ACSF2,Q96CM8,1,"Nucleoplasm, Microtubules, Cytosol",,Uncertain
ACSF3,Q4G176,1,Mitochondria,Nucleoplasm,Supported
ACSL1,P33121,1,Vesicles,,Uncertain
ACSL3,O95573,1,"Nucleoli, Nucleoli rim",Lipid droplets,Approved
ACSL4,O60488,1,Golgi apparatus,Mitochondria,Approved
ACSL5,Q9ULC5,1,Mitochondria,Nucleoplasm,Supported
ACSL6,Q9UKU0,1,,,
ACSM1,Q08AH1,1,,,
ACSM2A,Q08AH3,1,,,
ACSM2B,Q68CK6,1,,,
ACSM3,Q53FZ2,1,,,
ACSM4,P0C7M7,1,,,
ACSM5,Q6NUN0,1,Vesicles,,Uncertain
ACSM6,Q6P461,1,,,
ACSS1,Q9NUB1,1,,,
ACSS2,Q9NR19,1,,,
ACSS3,Q9H6R3,1,Mitochondria,,Supported
ACTA1,P68133,1,,,
ACTA2,P62736,1,Actin filaments,,Supported
ACTB,P60709,1,,,
ACTBL2,Q562R1,1,,,
ACTC1,P68032,1,,,
ACTG1,P63261,1,,,
ACTG2,P63267,1,,,
ACTL10,Q5JWF8,1,,,
ACTL10,,0,,,
ACTL6A,O96019,1,Nucleoplasm,Cytosol,Enhanced
ACTL6B,O94805,1,Nucleoli rim,Mitotic chromosome,Approved
ACTL7A,Q9Y615,1,,,
ACTL7B,Q9Y614,1,,,
ACTL8,Q9H568,1,Cytosol,,Approved
ACTL9,Q8TC94,1,,,
ACTN1,P12814,1,"Actin filaments, Focal adhesion sites","Plasma membrane, Cytosol",Approved
ACTN2,P35609,1,Actin filaments,Cytosol,Approved
ACTN3,Q08043,1,Actin filaments,Cytosol,Approved
ACTN4,O43707,1,Actin filaments,Cytosol,Approved
ACTR10,Q9NZ32,1,"Vesicles, Plasma membrane, Focal adhesion sites",,Approved
ACTR1A,P61163,1,Microtubules,,Approved
ACTR1B,P42025,1,Microtubules,,Approved
ACTR2,P61160,1,Cytosol,,Approved
ACTR3,P61158,1,,,
ACTR3B,Q9P1U1,1,,,
ACTR3C,Q9C0K3,1,,,
ACTR5,Q9H9F9,1,,,
ACTR6,Q9GZN1,1,"Plasma membrane, Cytosol",,Approved
ACTR8,Q9H981,1,Nucleoplasm,Centrosome,Supported
ACTRT1,Q8TDG2,1,,,
ACTRT2,Q8TDY3,1,,,
ACTRT3,Q9BYD9,1,Nucleoplasm,,Approved
ACVR1,Q04771,1,Nucleoli,Cytosol,Uncertain
ACVR1B,P36896,1,Cytosol,,Approved
ACVR1C,Q8NER5,1,,,
ACVR2A,P27037,1,Cytosol,,Approved
ACVR2B,Q13705,1,,,
ACVRL1,P37023,1,,,
ACY1,Q03154,1,Vesicles,,Approved
ACY3,Q96HD9,1,,,
ACYP1,P07311,1,Cytosol,Nucleoplasm,Approved
ACYP2,P14621,1,Nucleoplasm,,Approved
ADA,P00813,1,Plasma membrane,Cytosol,Supported
ADA2,Q9NZK5,1,,,
ADAD1,Q96M93,1,,,
ADAD2,Q8NCV1,1,,,
ADAL,Q6DHV7,1,Nucleoplasm,"Nuclear speckles, Vesicles",Approved
ADAM10,O14672,1,"Vesicles, Plasma membrane",,Supported
ADAM11,O75078,1,,,
ADAM12,O43184,1,Plasma membrane,,Supported
ADAM15,Q13444,1,Vesicles,,Uncertain
ADAM17,P78536,1,Cytosol,,Supported
ADAM18,Q9Y3Q7,1,,,
ADAM19,Q9H013,1,Vesicles,,Approved
ADAM2,Q99965,1,,,
ADAM20,O43506,1,,,
ADAM21,Q9UKJ8,1,,,
ADAM22,Q9P0K1,1,Cell Junctions,,Approved
ADAM23,O75077,1,,,
ADAM28,Q9UKQ2,1,Plasma membrane,Mitochondria,Approved
ADAM29,Q9UKF5,1,,,
ADAM30,Q9UKF2,1,,,
ADAM32,Q8TC27,1,Vesicles,Nucleoplasm,Approved
ADAM33,Q9BZ11,1,Plasma membrane,Nuclear speckles,Approved
ADAM7,Q9H2U9,1,,,
ADAM8,P78325,1,,,
ADAM9,Q13443,1,Vesicles,Endoplasmic reticulum,Approved
ADAMDEC1,O15204,1,,,
ADAMTS1,Q9UHI8,1,Plasma membrane,,Approved
ADAMTS10,Q9H324,1,,,
ADAMTS12,P58397,1,Nucleoli,Mitochondria,Approved
ADAMTS13,Q76LX8,1,Vesicles,,Approved
ADAMTS14,Q8WXS8,1,,,
ADAMTS15,Q8TE58,1,Cytosol,,Approved
ADAMTS16,Q8TE57,1,Vesicles,,Approved
ADAMTS17,Q8TE56,1,Nucleoplasm,,Approved
ADAMTS18,Q8TE60,1,"Midbody, Mitotic spindle",,Approved
ADAMTS19,,0,"Vesicles, Midbody",,Approved
ADAMTS2,O95450,1,Plasma membrane,Vesicles,Approved
ADAMTS20,P59510,1,,,
ADAMTS3,O15072,1,Intermediate filaments,,Approved
ADAMTS4,O75173,1,Nuclear speckles,,Supported
